filename,source_subdir,normalized_schema_iri,injected_subjectOf,detected_profiles,validated_against,schema_errors,target_path,moved,parse_error,framing_error
metadata_10.60707-vjcy-by10.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-vjcy-by10.json,True,,
metadata_10.60707-wg35-6e70.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-wg35-6e70.json,True,,
metadata_10.60707-wspc-wg10.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-wspc-wg10.json,True,,
metadata_10.60707-xbby-kj41.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-xbby-kj41.json,True,,
metadata_10.60707-xnxf-m505.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-xnxf-m505.json,True,,
metadata_10.60707-xq6j-wr35.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-xq6j-wr35.json,True,,
metadata_10.60707-xzeg-2x24.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-xzeg-2x24.json,True,,
metadata_10.60707-y3a1-7706.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-y3a1-7706.json,True,,
metadata_10.60707-yv1f-jb20.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-yv1f-jb20.json,True,,
metadata_10.60707-zh1b-jk54.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-zh1b-jk54.json,True,,
cdif_10.60707-0y88-ps96.json,CDIF2026,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/data_description/1.1;https://w3id.org/cdif/manifest/1.1,DiscoveryDataDescription,0,doc-discoverydatadescription\examples\CDIF2026\cdif_10.60707-0y88-ps96.json,True,,
cdif_se_na2so4-xdi.jsonLD,CDIF2026,False,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/data_description/1.1,DiscoveryDataDescription,0,doc-discoverydatadescription\examples\CDIF2026\cdif_se_na2so4-xdi.jsonLD,True,,
NetCDF-CDIF-UKESM1-0-LL.jsonLD,CMIP-NetCDF,False,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/data_description/1.1,DiscoveryDataDescription,6,doc-discoverydatadescription\examples\CMIP-NetCDF\NetCDF-CDIF-UKESM1-0-LL.jsonLD,False,,
ESS11-subset_DDICDI.jsonld,ESS11,False,True,,cdifCore,12,profile-datastructure\examples\ESS11\ESS11-subset_DDICDI.jsonld,False,,
ESS11-subset_DDICDI.jsonld,.,False,True,,cdifCore,12,profile-datastructure\examples\ESS11-subset_DDICDI.jsonld,False,,
FeXAS_Fe_c3d.001-NEXUS-HDF5-cdi-CDIF.jsonLD,FeXAS,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/data_description/1.1,DiscoveryDataDescription,6,doc-discoverydatadescription\examples\FeXAS\FeXAS_Fe_c3d.001-NEXUS-HDF5-cdi-CDIF.jsonLD,False,,
NEXUS-withDataStructureComponent.json,FeXAS,False,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/data_description/1.1,DiscoveryDataDescription,8,doc-discoverydatadescription\examples\FeXAS\NEXUS-withDataStructureComponent.json,False,,
NEXUS-withDataStructureComponentSimplified.json,FeXAS,False,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/data_description/1.1,DiscoveryDataDescription,8,doc-discoverydatadescription\examples\FeXAS\NEXUS-withDataStructureComponentSimplified.json,False,,
OIH-PROVe1ba5a1368cea8b1d6591ba932c910b26859892e.jsonld,.,False,True,,cdifCore,12,profile-datastructure\examples\OIH-PROVe1ba5a1368cea8b1d6591ba932c910b26859892e.jsonld,False,,
se_na2so4-XDI-CDI-CDIF.jsonLD,se_na2so4,False,True,,cdifCore,12,profile-datastructure\examples\se_na2so4\se_na2so4-XDI-CDI-CDIF.jsonLD,False,,
sftlf_fx_AWI-CM-1-1-MR_ssp370_r1i1p1f1_gn.jsonLD,WDCC_NetCDF,False,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/data_description/1.1,DiscoveryDataDescription,4,doc-discoverydatadescription\examples\WDCC_NetCDF\sftlf_fx_AWI-CM-1-1-MR_ssp370_r1i1p1f1_gn.jsonLD,False,,
